1,hsa-mir-200c
2,hsa-mir-124-1
3,hsa-mir-124-2
4,hsa-mir-124-3
5,hsa-mir-18a
6,hsa-mir-328
7,hsa-mir-125a
8,hsa-mir-181c
9,hsa-mir-21
10,hsa-mir-31
11,hsa-mir-374a
12,hsa-let-7a-1
13,hsa-let-7a-2
14,hsa-let-7a-3
15,hsa-let-7b
16,hsa-let-7i
17,hsa-mir-101-1
18,hsa-mir-101-2
19,hsa-mir-122
20,hsa-mir-125b-1
21,hsa-mir-125b-2
22,hsa-mir-126
23,hsa-mir-128-1
24,hsa-mir-128-2
25,hsa-mir-139
26,hsa-mir-143
27,hsa-mir-146a
28,hsa-mir-152
29,hsa-mir-16-1
30,hsa-mir-16-2
31,hsa-mir-181a-1
32,hsa-mir-181a-2
33,hsa-mir-181b-1
34,hsa-mir-181b-2
35,hsa-mir-190a
36,hsa-mir-193a
37,hsa-mir-193b
38,hsa-mir-199a-1
39,hsa-mir-199a-2
40,hsa-mir-199b
41,hsa-mir-205
42,hsa-mir-212
43,hsa-mir-23a
44,hsa-mir-26a-1
45,hsa-mir-26a-2
46,hsa-mir-29b-1
47,hsa-mir-29b-2
48,hsa-mir-29c
49,hsa-mir-30a
50,hsa-mir-30e
51,hsa-mir-7-1
52,hsa-mir-7-2
53,hsa-mir-7-3
54,hsa-mir-96
55,hsa-mir-99a
56,hsa-let-7d
57,hsa-let-7e
58,hsa-let-7f-1
59,hsa-let-7g
60,hsa-mir-106a
61,hsa-mir-106b
62,hsa-mir-10a
63,hsa-mir-1226
64,hsa-mir-1246
65,hsa-mir-1275
66,hsa-mir-1286
67,hsa-mir-132
68,hsa-mir-133a-1
69,hsa-mir-133a-2
70,hsa-mir-135b
71,hsa-mir-141
72,hsa-mir-147a
73,hsa-mir-149
74,hsa-mir-15a
75,hsa-mir-151a
76,hsa-mir-15b
77,hsa-mir-17
78,hsa-mir-182
79,hsa-mir-185
80,hsa-mir-24-1
81,hsa-mir-191
82,hsa-mir-1915
83,hsa-mir-197
84,hsa-mir-19a
85,hsa-mir-20a
86,hsa-mir-200b
87,hsa-mir-203a
88,hsa-mir-210
89,hsa-mir-222
90,hsa-mir-224
91,hsa-mir-23b
92,hsa-mir-24-2
93,hsa-mir-25
94,hsa-mir-26b
95,hsa-mir-27a
96,hsa-mir-27b
97,hsa-mir-29a
98,hsa-mir-302f
99,hsa-mir-320a
100,hsa-mir-320c-1
101,hsa-mir-320c-2
102,hsa-mir-320d-1
103,hsa-mir-320d-2
104,hsa-mir-342
105,hsa-mir-365a
106,hsa-mir-374b
107,hsa-mir-423
108,hsa-mir-454
109,hsa-mir-483
110,hsa-mir-486
111,hsa-mir-501
112,hsa-mir-519c
113,hsa-mir-663a
114,hsa-mir-574
115,hsa-mir-575
116,hsa-mir-617
117,hsa-mir-638
118,hsa-mir-671
119,hsa-mir-758
120,hsa-mir-766
121,hsa-mir-92a-1
122,hsa-mir-92a-2
123,hsa-mir-93
124,hsa-let-7c
125,hsa-mir-192
126,hsa-mir-324
127,hsa-mir-346
128,hsa-mir-1227
129,hsa-mir-127
130,hsa-mir-129-2
131,hsa-mir-134
132,hsa-mir-140
133,hsa-mir-155
134,hsa-mir-183
135,hsa-mir-206
136,hsa-mir-22
137,hsa-mir-299
138,hsa-mir-30c-1
139,hsa-mir-337
140,hsa-mir-34a
141,hsa-mir-345
142,hsa-mir-376a-1
143,hsa-mir-376a-2
144,hsa-mir-379
145,hsa-mir-381
146,hsa-mir-382
147,hsa-mir-383
148,hsa-mir-409
149,hsa-mir-425
150,hsa-mir-432
151,hsa-mir-450a-1
152,hsa-mir-450a-2
153,hsa-mir-487b
154,hsa-mir-502
155,hsa-mir-516a-1
156,hsa-mir-516a-2
157,hsa-mir-542
